X,Cos
-10.0,-0.8390715290712859
-9.0,-0.911130261901885
-8.0,-0.14550003375513051
-7.0,-0.7539022543124887
-6.0,-0.960170286648813
-5.0,-0.2836621853938806
-4.0,-0.6536436208654913
-3.0,-0.989992496599934
-2.0,-0.41614683653781387
-1.0,0.540302305866953
0.0,1.0
1.0,0.540302305866953
2.0,-0.41614683653781387
3.0,-0.989992496599934
4.0,-0.6536436208654913
5.0,-0.2836621853938806
6.0,-0.960170286648813
7.0,-0.7539022543124887
8.0,-0.14550003375513051
9.0,-0.911130261901885
10.0,-0.8390715290712859
